code,latitude,longitude,N,size,N_min,N_max
DETHOLD,42.343,-83.01,0.677,2.0,0.032,8.833
DHDFNJ,40.718,-74.128,965.774,9.0,0.032,1003.161
DIIHBMD,39.287,-76.618,0.0,2.0,0.129,0.133
DILLSAF,28.667,-99.133,357.065,6.0,1.935,357.065
DISPTAZ,33.426,-111.94,0.0,2.0,1.033,1.667
DISSATX,29.425,-98.495,0.0,2.0,0.129,2.533
DLAMOCA,33.81,-118.343,,15.0,0.032,0.032
DLRHOLD,29.393,-100.899,0.742,2.0,0.032,11.032
DNHMCCO,39.728,-104.991,,15.0,0.032,1.333
DOCORNE,41.253,-95.938,0.0,2.0,0.484,154.767
DODGEWI,43.407,-88.706,112.29,6.0,23.0,277.742
DONAANM,32.303,-106.806,0.0,2.0,0.032,7.032
DORCDSC,33.057,-80.221,2.419,2.0,0.036,4.7
DORCHMD,38.548,-76.059,0.0,2.0,0.516,36.387
DOUGLCO,39.367,-104.863,0.0,2.0,0.032,4.429
DOUGLOR,43.211,-123.341,0.0,2.0,0.033,0.323
DOUGLWI,46.721,-92.098,31.935,3.5,0.032,32.226
DRHCSTX,28.519,-99.863,,15.0,0.167,0.167
DRURYCO,39.775,-104.846,0.0,2.0,0.032,2.0
DSMCNTX,31.757,-106.35,,15.0,0.065,2.433
DSMHOLD,41.586,-93.624,0.194,2.0,0.032,1.871
DSRTVCA,34.472,-117.298,,15.0,0.032,1.903
DULHOLD,46.835,-92.157,0.0,2.0,0.032,0.194
DUPAGIL,41.869,-88.141,0.0,2.0,0.032,0.032
DURHOLD,37.237,-107.874,0.032,2.0,0.032,0.613
DUTCHAK,53.871,-166.542,0.0,2.0,0.226,0.484
DUVALFL,30.326,-81.651,0.0,2.0,0.8,12.032
DVCSDKY,37.787,-87.071,41.839,3.5,10.774,41.839
DVDHOLD,39.154,-75.488,1.839,2.0,0.032,3.032
DVHSPNV,36.215,-116.025,,15.0,0.032,0.5
EAGLECO,39.663,-106.818,0.0,2.0,0.032,6.167
EAZ,32.818,-111.52,1314.419,12.0,157.387,1604.233
ECC,32.803,-115.569,1.0,2.0,1.0,562.733
ECLECTX,31.821,-102.359,0.0,2.0,0.032,0.032
ECMCBNY,42.927,-78.832,,15.0,0.065,0.6
ECOLOWA,47.479,-122.284,0.0,2.0,0.065,0.645
ECRMCCA,32.78,-115.569,,15.0,0.032,1.0
