detention_facility_code,name,state,start,end,place,type
SFDHOLD,Sioux Falls Hold Room,SD,17,197,"Sioux Falls, SD",Hold
SITKAAK,"Sitka City Jail, Sitka AK",AK,1,87,"Sitka, AK",Non-dedicated
SLINPAZ,Sleep Inn Phoenix,AZ,150,154,"Phoenix, AZ",Hotel
SISAONE,Sleep Inn Suites Airport,NE,128,132,"Omaha, NE",Hotel
SRJDFID,Snake River Juvenile,ID,1,131,"Twin Falls, ID",Family / Children
SOLONOH,Solon City Jail,OH,0,59,"Solon, OH",Non-dedicated
SOMERME,Somerset County Jail,ME,0,166,"Madison, ME",Non-dedicated
SMRVLTX,Somervell County Sheriff's Dept.,TX,170,171,"Glen Rose, TX",Other
SONMACA,Sonoma Co Main Adult Det,CA,94,95,"Santa Rosa, CA",Other
SOBAYCA,South Bay Detent Facility,CA,15,180,"Chula Vista, CA",Non-dedicated
WVSCENT,South Central Regional Jail,WV,0,197,"Charleston, WV",Federal
