detention_facility_code,name,state,type_detailed,start,end,place
WAYNENY,Wayne County Jail,NY,USMS IGA,0,101,"Lyons, NY"
WAYNEMI,"Wayne County, Detroit",MI,IGSA,0,15,"Detroit, MI"
WEBDCTX,Webb County Detention Center (CCA),TX,DIGSA,98,196,"Laredo, TX"
WEBERUT,Weber County Jail,UT,USMS IGA,0,53,"Ogden, UT"
WNTHOLD,Wenatchee Hold Room,WA,HOLD,0,196,"Yakima, WA"
WWDHDNH,Wentworth Douglas Hospital,NH,HOSPITAL,0,196,"Dover, NH"
WBATOLA,West Baton Rouge Det Ctr,LA,IGSA,0,6,"Port Allen, LA"
WKBHMFL,West Kendall Baptist Hosp,FL,HOSPITAL,122,196,"Miami, FL"
WMDBHFL,West Miami Dade Bapt Health Emerg,FL,HOSPITAL,0,196,"Miami, FL"
WOAKSTX,West Oaks Hospital,TX,HOSPITAL,1,65,"Houston, TX"
WTXDFTX,West Texas Detention Facility,TX,USMS IGA,9,146,"Sierra Blanca, TX"
CAWVALL,West Valley,CA,UNKNOWN,0,196,"Rancho Cucamonga, CA"
WSTMCCA,Western Medical Center,CA,HOSPITAL,18,81,"Santa Ana, CA"
TNWESDF,Western Tennessee Det. Fac.,TN,USMS CDF / USMS IGA,0,156,"Mason, TN"
WTREGVA,Western Tidewater Reg. Jail,VA,USMS IGA,28,103,"Suffolk, VA"
WVIRGVA,Western Virginia Regional Jail,VA,USMS IGA,169,190,"Salem, VA"
WESHOLD,Westminster Custody,CA,HOLD,9,110,"Westminster, CA"
WMLNDPA,Westmoreland County Jail,PA,IGSA,8,9,"Greensburg, PA"
WMHOSCA,White Memorial Hospital,CA,HOSPITAL,0,127,"Los Angeles, CA"
WHITFGA,Whitfield County Jail,GA,IGSA,24,171,"Dalton, GA"
WICHOLD,Wichita Holdroom,KS,HOLD,24,180,"Wichita, KS"
AKWILPT,Wildwood Pre-Trial Fac.,AK,IGSA,0,196,"Kenai, AK"
AKWILCC,Wildwood State Corr. Ctr.,AK,IGSA,0,196,"Kenai, AK"
WCRDFTX,Willacy Co  Regional Detn Facil,TX,USMS IGA,70,137,"Raymondville, TX"
WILLCTX,Willacy County Detention Center,TX,DIGSA,0,35,"Raymondville, TX"
WILLITX,Williamson County Jail,TX,IGSA,0,196,"Georgetown, TX"
WILLITN,Williamson County Jail,TN,IGSA,3,3,"Franklin, TN"
WPOHOLD,Williamsport Hold Room,PA,HOLD,0,196,"Williamsport, PA"
WINWYAZ,Wingate Wyndham Casa Esperanza,AZ,FAMILY STAGING,153,159,"Yuma, AZ"
WINCOTX,Winkler County Jail,TX,IGSA,0,196,"Kermit, TX"
LAWINCI,Winn Corr Institute,LA,DIGSA,128,196,"Winnfield, LA"
WOODBIA,Woodbury County Jail,IA,IGSA,158,158,"Sioux City, IA"
WORCEMD,Worcester Co. Jail,MD,IGSA,0,161,"Snow Hill, MD"
WYATTRI,Wyatt Detention Center,RI,USMS IGA,0,196,"Central Falls, RI"
WYMCONY,Wyoming County Jail,NY,IGSA,0,196,"Warsaw, NY"
YIKIMWA,Yakima County,WA,USMS IGA,0,129,"Yakima, WA"
YAKHOLD,Yakima Sub-Office,WA,HOLD,25,196,"Yakima, WA"
YANCOSD,Yankton Co. Jail SD,SD,USMS IGA,101,148,"Yankton, SD"
YATESNY,Yates County Jail,NY,IGSA,0,196,"Penn Yan, NY"
YAVCVAZ,Yavapai County Detention Center,AZ,IGSA,1,99,"Camp Verde, AZ"
YAVAPAZ,Yavapai County Jail,AZ,IGSA,6,27,"Prescott, AZ"
YELLOMT,Yellowstone County Jail,MT,USMS IGA,0,111,"Billings, MT"
CTYORCI,York Corr Inst,CT,IGSA,2,10,"Niantic, CT"
YORCOSC,York County Detention Center,SC,USMS IGA,0,194,"York, SC"
YORKCME,York County Jail,ME,IGSA,20,32,"Alfred, ME"
YORCOPA,"York County Jail, PA",PA,IGSA,0,155,"York, PA"
YRKHOLD,York Hold Room,PA,HOLD,157,196,"York, PA"
YUBAJCA,Yuba County Jail,CA,IGSA,0,171,"Marysville, CA"
YUMHOLD,Yuma Holdroom,AZ,HOLD,0,196,"Yuma, AZ"
YRMDCAZ,Yuma Regional Med Ctr,AZ,HOSPITAL,0,196,"Yuma, AZ"
ZAVCOTX,Zavala County Jail,TX,IGSA,0,196,"Crystal City, TX"
